Date,Infections,Deaths,Year
2020-02-23,4.0,0.0,2020
2020-03-01,22.0,0.0,2020
2020-03-08,127.0,0.0,2020
2020-03-15,621.0,0.0,2020
2020-03-22,1146.0,6.0,2020
2020-03-29,1951.0,46.0,2020
2020-04-05,3266.0,195.0,2020
2020-04-12,5378.0,478.0,2020
2020-04-19,8434.0,897.0,2020
2020-04-26,11528.0,1733.0,2020
2020-05-03,14502.0,2487.0,2020
2020-05-10,18864.0,3037.0,2020
2020-05-17,22255.0,3653.0,2020
2020-05-24,26938.0,4017.0,2020
2020-05-31,28996.0,4272.0,2020
2020-06-07,34786.0,4608.0,2020
2020-06-14,36173.0,4933.0,2020
2020-06-21,40795.0,4867.0,2020
2020-06-28,41259.0,4638.0,2020
2020-07-05,47584.0,5049.0,2020
2020-07-12,47893.0,5366.0,2020
2020-07-19,49644.0,5562.0,2020
2020-07-26,47279.0,5442.0,2020
2020-08-02,42994.0,5098.0,2020
2020-08-09,37463.0,4894.0,2020
2020-08-16,38636.0,4325.0,2020
2020-08-23,38637.0,3966.0,2020
2020-08-30,37389.0,3637.0,2020
2020-09-06,36688.0,3403.0,2020
2020-09-13,31051.0,3113.0,2020
2020-09-20,33647.0,2873.0,2020
2020-09-27,30701.0,2720.0,2020
2020-10-04,33378.0,2516.0,2020
2020-10-11,38032.0,2491.0,2020
2020-10-18,41274.0,2713.0,2020
2020-10-25,44117.0,3218.0,2020
2020-11-01,42193.0,3283.0,2020
2020-11-08,44226.0,3525.0,2020
2020-11-15,47211.0,3585.0,2020
2020-11-22,53520.0,3848.0,2020
2020-11-29,57260.0,3997.0,2020
2020-12-06,71675.0,4350.0,2020
2020-12-13,77119.0,4767.0,2020
2020-12-20,76579.0,5272.0,2020
2020-12-27,71345.0,5974.0,2020
2021-01-03,92686.0,6749.0,2021
2021-01-10,112213.0,7931.0,2021
2021-01-17,102043.0,9054.0,2021
2021-01-24,92330.0,9931.0,2021
2021-01-31,66781.0,9100.0,2021
2021-02-07,55563.0,7853.0,2021
2021-02-14,44443.0,6231.0,2021
2021-02-21,42454.0,5062.0,2021
2021-02-28,39564.0,4250.0,2021
2021-03-07,36785.0,3628.0,2021
2021-03-14,29719.0,3289.0,2021
2021-03-21,29520.0,2680.0,2021
2021-03-28,24947.0,2349.0,2021
2021-04-04,22756.0,2142.0,2021
2021-04-11,24741.0,2000.0,2021
2021-04-18,20909.0,1823.0,2021
2021-04-25,20036.0,1526.0,2021
2021-05-02,16719.0,1335.0,2021
2021-05-09,14684.0,1063.0,2021
2021-05-16,14755.0,893.0,2021
2021-05-23,14975.0,774.0,2021
2021-05-30,15718.0,714.0,2021
2021-06-06,18528.0,641.0,2021
2021-06-13,21212.0,660.0,2021
2021-06-20,27782.0,734.0,2021
2021-06-27,33793.0,776.0,2021
2021-07-04,46940.0,971.0,2021
2021-07-11,71558.0,1171.0,2021
2021-07-18,92432.0,1610.0,2021
2021-07-25,119140.0,2410.0,2021
2021-08-01,131133.0,3490.0,2021
2021-08-08,130730.0,4370.0,2021
2021-08-15,127961.0,5115.0,2021
2021-08-22,108940.0,5557.0,2021
2021-08-29,89890.0,5475.0,2021
2021-09-05,81072.0,4915.0,2021
2021-09-12,65884.0,4360.0,2021
2021-09-19,56061.0,3738.0,2021
2021-09-26,49911.0,3262.0,2021
2021-10-03,38581.0,2711.0,2021
2021-10-10,32585.0,2234.0,2021
2021-10-17,26346.0,1911.0,2021
2021-10-24,24005.0,1516.0,2021
2021-10-31,19974.0,1267.0,2021
2021-11-07,19865.0,1116.0,2021
2021-11-14,18006.0,990.0,2021
2021-11-21,19668.0,948.0,2021
2021-11-28,17917.0,909.0,2021
2021-12-05,18030.0,897.0,2021
2021-12-12,16269.0,905.0,2021
2021-12-19,17466.0,836.0,2021
2021-12-26,36652.0,788.0,2021
2022-01-02,115872.0,752.0,2022
2022-01-09,312475.0,1002.0,2022
2022-01-16,427787.0,1593.0,2022
2022-01-23,347037.0,2745.0,2022
2022-01-30,215151.0,3810.0,2022
2022-02-06,117591.0,3780.0,2022
2022-02-13,73403.0,3091.0,2022
2022-02-20,48486.0,2090.0,2022
2022-02-27,25994.0,1383.0,2022
2022-03-06,17539.0,768.0,2022
2022-03-13,11765.0,474.0,2022
2022-03-20,8055.0,276.0,2022
2022-03-27,6949.0,169.0,2022
2022-04-03,5591.0,119.0,2022
2022-04-10,4260.0,102.0,2022
2022-04-17,3117.0,72.0,2022
2022-04-24,4108.0,42.0,2022
2022-05-01,3963.0,43.0,2022
2022-05-08,4563.0,33.0,2022
2022-05-15,6396.0,31.0,2022
2022-05-22,9851.0,31.0,2022
2022-05-29,15078.0,34.0,2022
2022-06-05,25772.0,38.0,2022
2022-06-12,43543.0,48.0,2022
2022-06-19,71563.0,80.0,2022
2022-06-26,124670.0,137.0,2022
2022-07-03,174344.0,208.0,2022
2022-07-10,212666.0,374.0,2022
2022-07-17,197669.0,590.0,2022
2022-07-24,156582.0,594.0,2022
2022-07-31,98246.0,645.0,2022
2022-08-07,68510.0,543.0,2022
2022-08-14,43143.0,388.0,2022
2022-08-21,28651.0,274.0,2022
2022-08-28,19199.0,215.0,2022
2022-09-04,14022.0,140.0,2022
2022-09-11,10797.0,101.0,2022
2022-09-18,7020.0,67.0,2022
2022-09-25,6529.0,56.0,2022
2022-10-02,4499.0,52.0,2022
2022-10-09,3227.0,38.0,2022
2022-10-16,2742.0,22.0,2022
2022-10-23,2675.0,25.0,2022
2022-10-30,2757.0,24.0,2022
2022-11-06,3649.0,17.0,2022
2022-11-13,4863.0,26.0,2022
2022-11-20,5930.0,26.0,2022
2022-11-27,10141.0,30.0,2022
2022-12-04,15514.0,62.0,2022
2022-12-11,22546.0,75.0,2022
2022-12-18,29751.0,136.0,2022
2022-12-25,32649.0,167.0,2022
2023-01-01,31941.0,223.0,2023
2023-01-08,31864.0,297.0,2023
2023-01-15,27100.0,275.0,2023
2023-01-22,25084.0,274.0,2023
2023-01-29,22235.0,236.0,2023
2023-02-05,18189.0,175.0,2023
2023-02-12,20451.0,159.0,2023
2023-02-19,19863.0,165.0,2023
2023-02-26,20039.0,96.0,2023
2023-03-05,19755.0,99.0,2023
2023-03-12,20565.0,102.0,2023
2023-03-19,15737.0,89.0,2023
2023-03-26,16975.0,110.0,2023
2023-04-02,13106.0,87.0,2023
2023-04-09,7965.0,85.0,2023
2023-04-16,9847.0,61.0,2023
2023-04-23,9323.0,80.0,2023
2023-04-30,8330.0,70.0,2023
2023-05-07,8692.0,50.0,2023
2023-05-14,7172.0,36.0,2023
2023-05-21,6744.0,50.0,2023
2023-05-28,5522.0,51.0,2023
2023-06-04,3517.0,40.0,2023
2023-06-11,3000.0,36.0,2023
2023-06-18,2582.0,37.0,2023
2023-06-25,2827.0,34.0,2023
2023-07-02,2703.0,27.0,2023
2023-07-09,2998.0,25.0,2023
2023-07-16,3103.0,24.0,2023
2023-07-23,3589.0,24.0,2023
2023-07-30,3871.0,30.0,2023
2023-08-06,5503.0,35.0,2023
2023-08-13,6355.0,31.0,2023
2023-08-20,7044.0,42.0,2023
2023-08-27,7898.0,49.0,2023
2023-09-03,9235.0,40.0,2023
2023-09-10,9789.0,52.0,2023
2023-09-17,6327.0,32.0,2023
2023-09-24,4438.0,48.0,2023
2023-10-01,1667.0,40.0,2023
2023-10-08,240.0,29.0,2023
2023-10-15,194.0,29.0,2023
2023-10-22,144.0,16.0,2023
2023-10-29,101.0,10.0,2023
2023-11-05,68.0,16.0,2023
2023-11-12,94.0,7.0,2023
2023-11-19,60.0,8.0,2023
2023-11-26,93.0,8.0,2023
2023-12-03,113.0,11.0,2023
2023-12-10,106.0,2.0,2023
2023-12-17,130.0,13.0,2023
2023-12-24,112.0,11.0,2023
2023-12-31,124.0,8.0,2023
2024-01-07,209.0,5.0,2024
2024-01-14,344.0,9.0,2024
2024-01-21,563.0,22.0,2024
2024-01-28,646.0,21.0,2024
2024-02-04,643.0,22.0,2024
2024-02-11,767.0,20.0,2024
2024-02-18,666.0,25.0,2024
2024-02-25,587.0,28.0,2024
2024-03-03,541.0,28.0,2024
2024-03-10,348.0,33.0,2024
2024-03-17,250.0,14.0,2024
2024-03-24,205.0,33.0,2024
2024-03-31,153.0,10.0,2024
2024-04-07,201.0,14.0,2024
2024-04-14,123.0,12.0,2024
2024-04-21,136.0,10.0,2024
2024-04-28,56.0,6.0,2024
